followers count,friends count,retweet count,favorite count,polarity,SubjectivityClass
1049,1831,1,1,-0.0625,0
6659,2516,0,1,0.5,2
3418,3066,0,0,0.0,0
144,584,0,1,-0.3,1
1755,1233,0,1,0.25,0
109,68,0,0,0.0,0
122,97,0,1,0.0,0
17,330,0,0,-0.125,0
6644,2903,2,0,0.0888888888888889,2
8145,8821,0,0,0.5,1
17767,15488,0,0,0.0,0
238,486,0,1,0.0,0
7076,1793,0,0,0.0,0
1049,1831,0,1,-0.07013888888888889,0
519,403,0,0,0.0,0
11,72,0,0,-0.03571428571428571,0
135150,28270,0,0,0.125,0
4094,4006,0,0,0.0,0
905,1327,1,0,0.4,2
29722,2704,1,4,0.25,0
99,192,0,0,0.18333333333333326,0
162,327,0,0,0.05,2
1612,4839,6,12,0.1,1
2034,1181,1,4,0.6,2
104,193,3,6,0.25,0
4659,0,0,0,0.0,0
120,461,0,0,0.0,0
4736,928,2,2,-0.07142857142857142,0
2984,3435,0,0,0.0,0
728,2332,0,0,0.10714285714285714,1
94,263,0,0,-1.0,2
1516,0,0,0,0.0,0
0,98,0,1,-0.45,2
106,84,0,0,0.0,0
11,18,1,0,0.13636363636363635,1
1876,882,0,0,0.3,0
3502,8,0,0,0.0,0
3502,8,0,0,0.0,0
9113,2139,0,1,0.0,2
63,69,0,0,0.0625,1
2230,2557,0,2,0.75,2
776,4052,0,0,0.0,0
137,95,0,2,0.0,0
909,529,3,5,0.0,0
1721,0,0,0,0.0,0
1935,2518,0,0,0.0,0
3930,1545,0,1,0.2,2
61,899,0,0,0.06818181818181818,0
561,1005,2,1,0.1,1
326,167,0,0,0.0,0
0,5,0,0,0.0,0
16898,1527,0,3,0.5,1
8,144,0,0,0.0,1
356,905,2,2,0.21666666666666667,1
142,601,3,4,0.3,1
33,1402,1,13,-0.5,2
210,102,0,1,0.6,0
11839,1982,9,31,0.021645021645021644,0
5772,856,1,3,0.31666666666666665,2
22207,10028,3,8,0.06818181818181818,0
104143,229,2,2,0.2,0
934,214,1,3,0.3,2
1554,458,1,3,0.13636363636363635,1
193,342,0,0,0.0,0
137,1876,0,0,0.0,0
174,111,0,0,0.0,0
427,828,1,6,0.25,0
761,426,0,0,-0.07142857142857142,0
38369,782,0,2,0.0,0
327,412,0,8,0.0,0
1171,1464,0,2,-0.03571428571428571,0
235,201,0,3,0.0,2
11583,2030,0,6,0.2,0
1,10,1,2,0.0,0
258,524,0,1,0.0,0
978,1904,0,2,0.5,1
2334,2342,2,3,0.04545454545454545,0
274,681,0,1,0.15,0
152,335,0,0,0.13636363636363635,1
10583,10806,3,3,0.0,0
18920,14897,0,1,0.01481481481481481,0
1077,1654,0,1,0.4777777777777778,0
88,63,0,0,0.13636363636363635,1
12311,831,1,1,0.13636363636363635,1
1533,978,0,0,0.19318181818181807,0
96791,71,10,6,-0.6,2
4,82,0,0,0.5,1
883,1335,0,2,0.07500000000000001,0
12600,877,2,8,0.19318181818181807,0
4,82,0,0,0.5,1
4394,4733,0,6,0.3,0
41,53,0,0,0.0,0
6644,2903,2,0,0.25,2
757,388,0,1,0.0,1
682,399,0,4,0.1,0
11583,2030,0,2,0.0,0
240,1673,0,0,0.1125,0
1533,978,0,0,0.06666666666666668,2
9610,4016,1,2,0.5,1
12600,877,0,3,0.06666666666666668,2
3008,656,0,1,-0.04166666666666666,1
75986,193,5,8,0.0,0
240,32,0,0,0.25,2
5044,5544,0,1,0.13636363636363635,1
559,0,0,0,-0.2916666666666667,1
107,328,0,0,-0.09848484848484848,1
27,423,0,0,0.0,0
20,24,0,0,0.5,1
473,1223,0,0,-0.07142857142857142,0
8062,478,1,1,0.0,0
25577,3056,0,2,0.0,0
368,250,0,1,-0.04999999999999996,2
156,484,0,0,0.0,0
93436,459,0,1,0.13636363636363635,1
5306,1039,0,2,0.4666666666666667,2
85996,1117,3,18,0.0,0
22458,16087,0,0,0.0,0
31,162,0,0,0.0,0
93,451,1,1,0.0,1
654,1338,0,0,0.5,1
1829,219,1,1,0.25,1
3822,4836,1,0,0.0,0
53,91,1,0,0.3,1
4168,2549,0,4,0.0,0
13027,2908,5,9,0.0,0
