followers count,friends count,retweet count,favorite count,subjectivity,PolarityClass
247,575,0,0,0.5848484848484848,1
99,108,1,1,0.25,1
1231,41,0,1,0.0,1
692,449,0,0,0.1,1
1165,384,0,0,0.3,2
17570,13948,0,0,0.0,1
3242,2535,0,0,0.1,1
891,4,0,0,0.3,2
109,68,0,0,0.05,1
1105519,3389,17,31,0.525,2
49,146,3,9,0.35,2
838,598,1,1,0.16666666666666666,1
6815,986,0,4,0.0,1
1623,1530,0,1,0.2,1
4,4,0,2,0.0,1
11814,191,0,0,0.0,1
170,183,0,0,0.0,1
90,79,0,0,0.2606060606060606,1
414,319,0,2,0.0,1
6660,480,2,10,0.3333333333333333,1
1605,1832,0,0,0.35,2
98,221,0,0,0.0,1
84,1262,0,1,0.25,1
133,595,2,1,0.5473484848484849,1
386,0,0,0,0.21428571428571427,1
302,394,0,0,0.0,1
6660,480,0,6,0.2,1
230,435,0,0,0.7,1
328,709,1,1,0.325,0
215,42,1,0,0.0,1
273,428,0,0,0.09583333333333333,1
956,974,1,2,0.0,1
26113,14274,9,12,0.5,2
2577,678,0,0,0.15,2
63,241,0,0,0.8666666666666667,2
38,151,0,1,0.4,2
65,21,2,7,0.375,1
1,16,0,0,0.4545454545454545,1
326,627,1,0,0.0,1
10478,4248,1,1,0.0,1
210,1892,0,0,0.5833333333333333,2
374,52,1,2,0.5,2
210,1892,0,0,0.5833333333333333,2
12371,1074,0,1,0.4875,1
238,389,0,1,1.0,1
26,255,0,0,0.43333333333333335,1
2086677,900,1,13,0.19791666666666666,1
11433,2736,0,1,0.5,2
1,16,0,0,0.4545454545454545,1
577796,231,0,1,0.0,1
985,476,2,5,0.32916666666666666,0
3822,4836,4,1,0.2875,1
1110,571,0,5,0.55625,2
1557229,1268,67,399,0.0,1
17255,375,0,1,0.0,1
3815,819,2,3,0.28484848484848485,1
2012,848,0,0,0.0,1
15066,1338,22,29,0.2,2
22,18,0,0,0.0,1
5044,5544,0,0,0.31666666666666665,1
1955,2941,7,10,0.5,2
4780,2626,0,1,0.0,1
820,256,1,0,0.0,1
7665,1189,1,1,0.1672077922077922,1
125,261,0,1,0.9,1
12371,1074,1,2,0.6000000000000001,2
326,83,0,0,0.0,1
26533,557,0,1,0.5,2
3755,1685,1,2,0.5710227272727273,1
279,371,0,2,0.4,0
2230,2557,0,2,1.0,2
1553,2189,0,0,0.4,1
10657,5627,3,5,0.9,0
3605,3949,0,0,0.4147727272727273,1
346,439,0,0,0.0,1
940283,681,0,0,0.0,1
4479,3575,0,1,0.0,1
374,52,1,1,1.0,1
185,265,0,0,0.0,1
443684,3636,27,81,0.5,2
0,52,0,1,0.3714285714285713,1
58,721,1,7,0.0,1
21059,1964,0,0,0.6000000000000001,1
6644,2903,0,0,0.3333333333333333,0
44685,1588,30,45,0.4666666666666666,1
115,269,0,0,0.4542857142857144,1
15144,2264,4,4,0.4545454545454545,1
85,165,0,0,0.4545454545454545,1
6644,2903,1,0,0.8333333333333334,1
1754016,83,0,5,0.6333333333333333,1
1872,1682,3,4,0.0,1
44508,4564,3,5,0.0,1
28,84,0,1,0.1,1
20,41,0,0,0.5499999999999999,1
17767,15488,0,0,0.4515151515151515,2
563,0,3,3,0.5,2
103,450,0,0,0.6,1
28,84,2,2,0.05,1
1143,383,0,3,0.8333333333333334,2
323,338,1,5,0.0,1
427,858,0,0,0.0,1
2573,1488,3,3,0.21428571428571427,1
311,784,3,2,0.8666666666666667,2
6943,4228,1,1,0.21428571428571427,1
563,81,4,7,0.9,2
125,100,0,0,0.2888888888888889,1
1217,1533,0,0,0.3344155844155844,1
643,102,5,10,0.0,1
10344,488,0,0,0.7,1
429,303,1,2,0.6,1
4,4,0,0,0.0,1
4,4,0,0,0.0,1
4,4,0,0,0.75,2
4,4,0,0,0.0,1
1551967,225821,0,0,0.9666666666666668,1
78,112,0,0,0.5,2
106,675,6,7,0.5,2
4897,1388,2,32,0.0,1
4440,1158,1,1,0.0,1
875,5,0,10,0.0,1
38,256,0,1,0.0,1
587,196,4,4,0.0,1
2804,20,3,17,0.5178571428571428,2
255,194,0,0,0.9,1
449,444,0,0,0.3,1
389,207,0,0,0.21428571428571427,1
833,558,0,0,1.0,2
822,404,1,0,0.1,1
822,404,1,1,0.0,1
3002,2951,2,0,0.0,1
16,52,0,0,0.21428571428571427,1
839,0,0,0,1.0,2
589,711,0,4,0.6944444444444444,2
3826,31,14,14,0.8666666666666667,2
96,357,0,0,0.0,1
182,57,0,0,0.21428571428571427,1
3774,1462,1,2,0.5,1
213971,1008,2,6,1.0,2
5370,167,1,2,0.5,2
41047,30,12,17,0.6022727272727273,1
2230,2557,0,3,1.0,2
4,4,0,0,0.8333333333333334,2
4,4,0,0,0.0,1
4,4,0,0,0.0,1
4,4,0,0,0.2,1
2050,518,0,1,0.0,1
8145,8821,0,0,0.4272727272727273,1
137,964,0,1,0.4,1
307,2,0,0,0.0,1
1251,980,1,1,0.75,2
4066,485,0,0,0.0,1
14753,1188,15,14,0.0,1
459,807,1,1,0.4,2
4,4,0,0,0.0,1
751,258,0,0,0.3555555555555556,2
457,0,0,0,0.7999999999999999,2
1165,384,0,0,0.0,1
1816,884,1,1,1.0,0
429,440,0,0,0.0,1
120,113,0,0,0.21428571428571427,1
891,4,0,0,0.0,1
1287,1004,0,0,0.4545454545454545,1
51,219,0,0,0.0,1
883,1812,5,7,0.0,1
4686,1,0,0,0.0,1
208,63,0,0,0.0,1
411,948,0,0,0.0,1
2675,5003,0,0,0.0,1
2300,2094,0,0,0.3,1
125,192,2,2,0.2,2
493,272,0,0,0.6333333333333333,1
2013,156,1,0,0.0,1
139,30,1,1,0.0,1
835,823,0,1,0.21428571428571427,1
45654,4886,4,4,0.125,1
95636,15270,1,7,0.4,1
7453,914,3,3,0.2,1
1030,2118,0,0,0.05,1
41421,4,0,0,1.0,0
2804,20,5,22,0.7272727272727273,2
2,24,0,0,0.6,2
2285,5,0,0,0.21428571428571427,1
4965,361,0,0,0.21428571428571427,1
1163955,1299,19,25,0.21428571428571427,1
72,68,4,4,0.0,1
14024,12147,2,0,0.0,1
2,24,0,0,0.8333333333333334,2
15066,1338,2,3,0.2,2
