followers count,friends count,retweet count,favorite count,PolarityClass,subjectivity
6078,4682,0,2,,0.435714286
117450,28888,0,1,,0.305555556
473,422,0,0,,0.3
49468,1187,70,314,,0
5,62,1,1,,0.5
110,349,0,0,,0.1
276,574,0,0,,0.619047619
116,284,0,0,,0
3159,5000,0,1,,0.55
38,166,1,0,,0
124,523,0,0,,0.7
172,94,0,0,,0
2099,586,0,0,,0
7245,7902,0,0,,0.6
1949,3791,1,2,,0.962962963
1150,1805,2,2,,0.6
1,3,0,1,,0.15
220,437,0,0,,0.5
20446,1091,2,38,,0.3125
805,155,0,1,,0
11278,10988,2,0,,0.6
32,13,0,0,,0.55
320,8,0,0,,0.6
75,180,0,0,,0.2
10195,10392,0,0,,0.73015873
10653,4,0,0,,0
170,63,0,0,,0.6
178,718,0,0,,0.383333333
34755,8475,2,11,,0.6
486,1205,0,0,,0.6
21,121,0,0,,0
61,217,2,1,,0.3
1528,2016,0,2,,0.55
283569,255,8,15,,0
44,15,0,0,,0.625
3760,992,3,6,,0.316666667
2939,4997,0,1,,0
338,1627,0,0,,1
191,576,1,1,,1
3862,4971,0,0,,1
2015,2023,1,1,,1
318,1152,0,1,,0
24083,9667,1,0,,0.444444444
368,383,0,1,,0.2
1061,201,1,1,,0.25
19369,2140,1,4,,0.1
159,182,2,2,,0.308333333
24138,1926,4,27,,1
5103,541,2,4,,0
272,1519,0,0,,0.454545455
7900,1702,0,0,,0.65
728,4967,0,0,,0.4
33014,36296,6,23,,0.533333333
10039,10694,1,3,,0.6
15500,14504,0,0,,0.571428571
21,207,0,3,,0
73,231,0,0,,0.25
62,269,0,1,,0.571428571
898,921,0,2,,0.333333333
124,156,0,0,,0.175
