followers count,friends count,retweet count,favorite count,polarity,SubjectivityClass
272,434,0,1,0.15,
203,872,0,0,0.3,
385,623,0,0,0.3,
11017,2376,1,6,0,
552,424,0,0,0.3,
1569,1500,0,0,0,
13600,2967,0,0,0.214285714,
215,976,0,0,0.285714286,
3539,3936,0,0,0,
33,38,3,6,0.1,
78858,176,225,647,0.25,
0,22,0,0,0.7,
4628,5035,0,0,0,
652,3587,1,1,-0.091666667,
523,99,0,0,0.8,
2667,4363,0,1,0,
659,821,0,5,0.046590909,
4966,415,0,7,0.7,
3451,5002,0,1,-0.030555556,
53,163,0,0,0,
7092,2646,0,0,0,
11,10,0,0,0,
1714,1792,0,0,0.3,
2177,4937,1,1,0.3,
1470,1112,1,1,-0.25,
1382,1030,0,0,0,
119,208,0,0,0,
73343,3804,29,113,0.333333333,
19778,21752,0,0,0,
40458,1371,13,82,0,
16489,684,0,0,0.1,
449,103,0,2,-0.125,
18942,6929,10,75,0.05,
4569,1097,0,1,0,
1604,2179,0,0,0.3,
43,36,0,1,0.1,
87,203,0,0,0.5,
1930,166,0,1,0.1,
45,65,0,0,0.136363636,
5473,254,0,0,0,
24,256,0,0,0,
784,1436,0,0,0.3,
4560,4322,0,0,0,
456,457,0,1,0.3,
22,38,0,0,0,
35592,540,1,0,0,
4628,5035,0,0,0,
462,2242,2,1,0,
36,40,0,0,-0.025,
2012,400,5,6,0,
6672,506,0,0,-0.041666667,
3671,187,3,12,0.125,
1965,2068,0,0,0,
33751,952,9,13,0.166666667,
16489,684,0,0,0,
1078,789,0,2,0.625,
1,9,0,0,-0.5,
1018,532,3,9,0.3625,
33697,29494,0,0,0.3,
287,331,0,4,0,
46,430,0,0,0,
11526,808,71,383,0,
65,848,0,0,0.5,
1030,333,2,2,0.136363636,
22,38,0,0,0,
5553,5225,0,0,0,
324,1134,0,1,0,
5730,5595,15,25,0.4,
117,774,0,0,0,
148041,908,16,170,-0.2,
11,16,0,1,0.118181818,
450,156,0,1,0,
363,592,1,1,-0.066666667,
179,54,0,1,0.1,
3121,2256,2,7,-0.13,
1462,2422,0,2,0,
1432,4090,0,0,0.136363636,
713,468,1,1,0,
72,139,0,0,0.175,
115,353,0,0,0,
1539,1571,0,5,0,
451,848,0,0,0,
23247,2416,12,43,0,
6115,1233,0,1,0.2,
153,72,0,2,-0.135185185,
105,1311,0,0,0,
329203,3548,13,136,0.125,
408,580,0,0,0.05,
943,1138,0,1,0.1,
234,634,0,0,0.3125,
685,512,2,2,0.35,
465,401,0,1,0.357142857,
9,32,0,0,0,
1510,1524,0,0,0.3,
34,33,0,1,0.05,
58,151,0,0,-0.05,
586,626,0,0,0.075,
48368,1005,9,19,0.3,
415,7,0,0,0.05,
1928,1759,2,5,0.357142857,
197,292,2,2,0.1,
11593,1825,0,0,0,
2631,4588,1,3,0.0125,
22,38,0,0,0,
284,1346,0,0,0,
2707,5002,0,1,0,
22757,4631,0,2,0,
383,1314,14,48,0,
22,38,0,0,0,
519,143,1,0,0.145833333,
0,3,0,1,0.55,
224519,100815,3,5,-0.1,
338,639,0,0,0,
4075,3898,1,5,0,
3462140,522,11,27,0,
174783,2846,590,1874,0.2,
282,1548,0,0,0,
3,12,0,0,0.166666667,
1162,2198,3,6,0,
1200,1467,1,2,0.3,
574,524,0,0,0.3,
414,1044,1,5,0.5,
171,333,0,0,0.3,
2,29,0,0,0.7,
1195,1081,0,0,-0.068181818,
1249,757,0,0,0,
198,237,0,0,0.025,
498,576,0,1,0,
3210,4493,0,0,0,
1065,745,0,1,0,
195247,525,47,174,0,
72,290,1,1,0,
4890,5211,1,0,0.285714286,
1428,1587,0,0,0.3,
3,60,0,0,0,
5123,5112,6,10,0.5,
11306,11313,22,111,0.25,
261,319,0,0,0,
177,938,0,0,-0.40625,
252,612,0,0,0.15,
17938,15117,4,14,0,
14127,7744,0,0,0,
11,153,0,0,-0.3,
934,1142,0,0,0.136363636,
3733,3876,0,0,0.4,
126,421,0,0,0.3,
5,1,0,0,0,
102,368,0,1,0,
158,304,0,0,0,
3634,1690,1,4,0,
3942,3813,0,1,0.35,
231,676,0,1,0,
2136,2627,0,1,0,
2732,758,0,0,0,
4083,3913,0,0,0.2,
194,443,0,0,0.05,
118,336,0,0,0,
2522,2112,0,0,0.3,
1010,1420,0,0,0.068181818,
93,394,0,0,0.3,
119550,106541,3,13,0,
14,69,0,0,0,
93,170,0,0,-0.5,
31149,26683,7,9,0.3,
2753,2821,0,1,0,
23544,2384,11,16,0.118181818,
31149,26683,4,5,0.3,
130384,1768,145,1096,0,
1625,1935,1,4,0,
55,280,0,0,0,
31149,26683,2,1,0.3,
1327,859,0,0,0.166666667,
31149,26683,1,1,0.3,
5494,5966,1,2,0.3,
5094,5018,0,0,0.136363636,
945,1177,0,0,-0.5,
960,1383,8,9,-0.3,
775,677,0,1,0.136363636,
3722,4084,0,6,0,
109723,2264,13,83,0.3,
126,752,0,0,0,
2543,727,4,12,-1,
433034,1113,281,1345,0,
283569,255,18,56,0,
2148,2182,0,0,0,
160,272,0,0,0,
1588,355,0,1,0.066666667,
267,1096,0,0,-0.4,
167257,3375,11,21,0.1,
607,1322,0,0,0,
23,179,0,1,0.05,
68068,69627,50,37,-0.1,
240,267,0,0,-0.25,
3659,5002,0,0,0,
21525,9878,0,3,0.3,
2487,2335,0,0,0.1,
194,443,0,0,0.05,
1211,678,0,1,-0.031818182,
2747,2852,0,0,0.136363636,
619,535,1,1,0,
120,669,0,1,0.3,
326,873,1,1,0.25,
6411,2397,0,2,-0.075,
5,14,0,0,0.35,
937,164,0,0,0,
1351,1388,0,1,0.45,
868,3542,0,0,-0.028409091,
1446,643,0,0,-0.8,
84,325,0,0,0.3,
749,2944,0,0,0,
355,1173,0,0,0.25,
258,722,0,0,0,
3754797,6984,17,32,-0.1875,
29,42,0,0,0,
1313,302,0,0,0,
374,209,0,0,0,
339,416,0,1,0.45,
10129,10810,1,3,0,
399,1708,0,0,0.136363636,
39850,15155,5,6,0,
15224,3495,1,1,0,
3416,719,0,2,0.1,
835,1181,0,0,0.3,
28484,2221,0,1,0,
53042,39639,0,2,-0.266666667,
329416,185440,0,2,-0.1,
2869,26,0,0,0.3,
207,137,0,1,0.125,
712,265,0,0,0,
48,144,0,0,0.3,
16139,2261,4,24,0,
3858,4622,2,2,0,
99,430,0,1,-0.01,
29,169,0,0,0,
230,1435,0,0,0.3,
960,2559,0,0,0.3,
2339,5006,0,0,0.3,
45,41,0,1,0,
0,22,0,0,0,
945,1848,1,3,-0.291666667,
2506,1331,4,5,0,
177817,3656,51,130,0,
246,480,0,0,0,
410,1377,0,0,0.5,
178,718,0,0,0,
1932,442,5,5,0.016287879,
983,1696,0,0,0.3,
683,1347,0,0,0.357142857,
83,91,0,0,-0.016666667,
111,229,0,0,-0.028571429,
604,324,0,0,0,
14189,13389,6,6,0.3,
1553,1945,1,3,0.016666667,
49,97,0,0,0.161666667,
9,97,0,0,0.136363636,
116686,939,16,29,0,
123,279,0,0,0.1,
1165,950,0,0,-0.1125,
1889,1347,0,0,0.3,
20,232,0,0,0.136363636,
310,5003,0,1,-0.133333333,
227434,11086,59,203,0.5,
310,1189,0,1,0,
421,999,0,0,0.273809524,
315,464,0,0,-0.3,
1083,2565,0,0,0.5,
3040,4649,0,0,0.136363636,
3364,899,0,2,0.136363636,
885,930,0,0,0,
3440,4629,0,0,0.29,
180767,46985,13,28,-0.5,
6858,1523,0,1,0.05,
34174,730,0,0,0,
9,225,0,0,-0.75,
492,555,0,0,0,
50059,671,6,8,-0.2,
28384,26036,6,4,0.3,
78,80,0,0,0,
16,53,0,0,0.142857143,
163,15,0,0,0,
2536,1348,0,0,0,
4246,4905,0,1,0,
19428,1737,4,11,0,
7620,8370,0,0,0.2,
109435,356,29,126,0.275,
104,540,0,0,0.3,
11518,12673,0,0,0.3,
121,116,1,1,0.4375,
56261,2139,5,19,0,
2262,2742,3,13,0.136363636,
588305,73,0,2,0,
166563,1582,150,904,0.15,
88344,31246,11,10,0.3,
93,333,1,0,0,
