followers count,friends count,retweet count,favorite count,polarity,SubjectivityClass
3121,2256,0,2,0.2,0
3991,3135,0,0,0.5,1
45502,40169,6,11,0.13636363636363635,1
698,1574,0,0,0.3,2
1302,2264,0,0,0.0,0
6849,6981,0,1,0.8,2
15,123,0,0,0.4,0
2273,796,1,10,0.6000000000000001,2
7919,869,2,15,-0.4,0
3345,4615,0,1,0.0,0
1034,973,0,0,0.0,0
285,5,0,0,0.125,0
29,179,0,2,0.26785714285714285,1
440,497,0,0,0.2285714285714286,1
87,938,0,0,0.13636363636363635,1
13206,13222,7,9,0.0,0
70,512,0,1,0.0,0
29593,24914,6,11,0.0,0
2792,2759,0,1,0.13333333333333333,0
3410,849,0,1,0.375,1
55,101,0,0,0.0,2
167257,3375,61,151,0.0,0
2811,888,0,2,-0.2,0
1809,3655,6,11,-0.15000000000000002,1
129,112,0,2,0.0,2
50,1947,1,1,0.0,0
287,1046,260,328,0.0,0
19671,6605,26,47,0.0,0
871,2188,0,0,0.13636363636363635,1
107,48,0,0,-0.5,2
959,912,0,0,0.2,0
114886,21924,59,222,0.0,0
2528,1129,0,0,0.0,0
3241,4955,0,2,0.2,1
35236,1003,7,53,0.35,2
187523,420,0,6,0.0,0
288,5001,0,0,-0.6666666666666666,2
6160,6760,0,1,0.0,0
0,0,0,0,0.0,1
14759,6497,0,0,0.0,0
590,684,0,5,0.04999999999999999,2
8777,1319,6,11,0.1,0
15,86,1,1,-0.3,0
6661,4116,3,50,-0.15,0
62,404,0,2,0.2,0
812,941,0,1,0.9,2
8607,9429,2,1,0.5,2
6224,956,3,5,0.0,0
2512,217,46,97,0.5,2
286,409,0,1,0.13636363636363635,1
448,1153,0,3,0.0,0
6204,6806,0,7,0.0625,0
17744,2281,2,0,0.14285714285714285,1
800,2458,0,0,0.0,0
79,214,0,0,0.525,0
33653,1392,2,21,-0.8,2
6103,6206,123,112,0.7166666666666667,2
319578,552,1796,10067,0.0,0
53,47,0,0,-0.1,0
5497,2946,0,1,-0.35,2
609,982,1,3,0.3625,1
184,386,0,0,0.3,2
1,14,0,0,0.175,1
3890,4047,0,1,-0.21746031746031744,1
2123,1619,2,6,-0.3625,1
20446,1091,55,121,0.24545454545454545,1
2522,2112,0,0,-0.06666666666666668,0
8538,1242,0,2,-0.25,0
0,0,1,1,-0.3166666666666667,0
430,518,1,1,0.0,0
96,313,0,0,0.0,0
630,779,0,0,0.0,0
6186,5688,5,44,0.0,0
65616,33893,21,35,0.0,0
1271794,14487,70,275,0.3,0
57,185,0,0,0.0,0
31,12,0,1,0.0,0
1397,152,1,1,0.0,0
3422,129,2,7,0.13333333333333333,0
1694,1699,0,0,0.0,0
2522,2112,1,0,0.2,0
5507,6039,0,2,0.0,0
9627,2395,2,1,0.5,2
857,2478,0,0,0.0,0
114,366,0,0,0.1,0
421,1046,0,5,0.0,0
